Version,Accuracy,Precision,Recall,F1_Score
Original,0.6242672119972733,0.6449304146946118,0.6242672119972733,0.6241216395709099
PCA_90%,0.39413769597818676,0.4014657340938727,0.39413769597818676,0.3839144840737011
PCA_95%,0.39404680754374005,0.4001009151128995,0.39404680754374005,0.38428549230552356
