Version,Accuracy,Precision,Recall,F1_Score
Original,0.6884798909338786,0.6926040867391802,0.6884798909338786,0.687538744992063
PCA_90%,0.4594410361281527,0.4641072622330539,0.4594410361281527,0.45328675700553356
PCA_95%,0.4568052715291979,0.4619551567814539,0.4568052715291979,0.45031144582343713
